Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
361,2016-12-01 00:02:10,2016-12-01 00:08:12,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,22340,Subscriber,1962,1
1633,2016-12-01 00:02:18,2016-12-01 00:29:31,387,Centre St & Chambers St,40.71273266,-74.0046073,387,Centre St & Chambers St,40.71273266,-74.0046073,26482,Customer,,0
128,2016-12-01 00:02:18,2016-12-01 00:04:26,79,Franklin St & W Broadway,40.71911552,-74.00666661,146,Hudson St & Reade St,40.71625008,-74.0091059,23578,Subscriber,1983,1
1041,2016-12-01 00:02:35,2016-12-01 00:19:57,301,E 2 St & Avenue B,40.72217444,-73.98368779,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,25992,Subscriber,1990,1
142,2016-12-01 00:02:53,2016-12-01 00:05:15,490,8 Ave & W 33 St,40.751551,-73.993934,488,W 39 St & 9 Ave,40.75645824,-73.99372222,23313,Subscriber,1981,1
256,2016-12-01 00:03:17,2016-12-01 00:07:34,509,9 Ave & W 22 St,40.7454973,-74.00197139,247,Perry St & Bleecker St,40.73535398,-74.00483091,25530,Subscriber,1970,1
200,2016-12-01 00:03:58,2016-12-01 00:07:19,511,E 14 St & Avenue B,40.72938685,-73.97772429,504,1 Ave & E 16 St,40.73221853,-73.98165557,27008,Subscriber,1995,2
957,2016-12-01 00:04:09,2016-12-01 00:20:07,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,17638,Subscriber,1967,1
653,2016-12-01 00:04:20,2016-12-01 00:15:14,3345,Madison Ave & E 99 St,40.78948541553215,-73.95242929458618,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,22662,Subscriber,1990,1
553,2016-12-01 00:06:43,2016-12-01 00:15:56,526,E 33 St & 5 Ave,40.74765947,-73.98490707,335,Washington Pl & Broadway,40.72903917,-73.99404649,20539,Subscriber,1989,1
318,2016-12-01 00:07:04,2016-12-01 00:12:22,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,15503,Subscriber,1994,1
145,2016-12-01 00:07:44,2016-12-01 00:10:09,3100,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696,3106,Driggs Ave & N Henry St,40.72325,-73.94308,26823,Subscriber,1981,1
873,2016-12-01 00:08:00,2016-12-01 00:22:34,212,W 16 St & The High Line,40.74334935,-74.00681753,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,25076,Subscriber,1983,1
274,2016-12-01 00:08:14,2016-12-01 00:12:48,3416,7 Ave & Park Pl,40.6776147,-73.97324283,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,19860,Subscriber,1987,2
309,2016-12-01 00:09:27,2016-12-01 00:14:37,3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,445,E 10 St & Avenue A,40.72740794,-73.98142006,25168,Subscriber,1956,1
214,2016-12-01 00:09:28,2016-12-01 00:13:03,127,Barrow St & Hudson St,40.73172428,-74.00674436,368,Carmine St & 6 Ave,40.73038599,-74.00214988,25021,Subscriber,1963,1
199,2016-12-01 00:09:57,2016-12-01 00:13:17,2008,Little West St & 1 Pl,40.70569254,-74.01677685,3002,South End Ave & Liberty St,40.711512,-74.015756,23773,Subscriber,1962,1
114,2016-12-01 00:10:09,2016-12-01 00:12:04,224,Spruce St & Nassau St,40.71146364,-74.00552427,306,Cliff St & Fulton St,40.70823502,-74.00530063,15559,Subscriber,1982,1
479,2016-12-01 00:10:15,2016-12-01 00:18:15,268,Howard St & Centre St,40.71910537,-73.99973337,316,Fulton St & William St,40.70955958,-74.00653609,18150,Subscriber,1961,1
606,2016-12-01 00:10:33,2016-12-01 00:20:40,497,E 17 St & Broadway,40.73704984,-73.99009296,511,E 14 St & Avenue B,40.72938685,-73.97772429,19477,Subscriber,1995,1
308,2016-12-01 00:10:50,2016-12-01 00:15:59,467,Dean St & 4 Ave,40.68312489,-73.97895137,3361,Carroll St & 6 Ave,40.6740886,-73.9787282,26027,Subscriber,1982,1
